trace_name,trace_family,path,capacity,policy,misses,hit_rate
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,lru,18078,0.63844
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,sieve,18110,0.6378
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,fifo_reinsertion,18122,0.63756
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,predictive_marker,18483,0.63034
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,blind_oracle_lru_combiner,18081,0.63838
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,trust_and_doubt,18772,0.62456
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,rest_v1,18078,0.63844
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,32,evict_value_v1,19970,0.6006
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,lru,19994,0.60012
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,sieve,21151,0.57698
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,fifo_reinsertion,19987,0.60026
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,predictive_marker,20169,0.59662
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,blind_oracle_lru_combiner,19995,0.6001
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,trust_and_doubt,20813,0.58374
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,rest_v1,19994,0.60012
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,32,evict_value_v1,21573,0.56854
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,lru,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,sieve,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,fifo_reinsertion,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,predictive_marker,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,blind_oracle_lru_combiner,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,trust_and_doubt,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,rest_v1,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,32,evict_value_v1,50000,0.0
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,lru,37881,0.24238
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,sieve,40943,0.18114
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,fifo_reinsertion,38091,0.23818
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,predictive_marker,38260,0.2348
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,blind_oracle_lru_combiner,37884,0.24232
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,trust_and_doubt,38774,0.22452
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,rest_v1,37881,0.24238
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,32,evict_value_v1,38579,0.22842
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,lru,38064,0.23872
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,sieve,38145,0.2371
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,fifo_reinsertion,38063,0.23874
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,predictive_marker,38105,0.2379
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,blind_oracle_lru_combiner,38065,0.2387
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,trust_and_doubt,38167,0.23666
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,rest_v1,38064,0.23872
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,32,evict_value_v1,38710,0.2258
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,lru,29380,0.4124
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,sieve,29732,0.40536
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,fifo_reinsertion,29308,0.41384
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,predictive_marker,29506,0.40988
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,blind_oracle_lru_combiner,29381,0.41238
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,trust_and_doubt,29810,0.4038
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,rest_v1,29380,0.4124
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,32,evict_value_v1,35951,0.28098
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,lru,49273,0.01454
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,sieve,49114,0.01772
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,fifo_reinsertion,49245,0.0151
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,predictive_marker,49384,0.01232
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,blind_oracle_lru_combiner,49274,0.01452
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,trust_and_doubt,49273,0.01454
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,rest_v1,49273,0.01454
cloudphysics_alibaba_block_head_50k,cloudphysics,data/processed/cloudphysics/trace.jsonl,32,evict_value_v1,49626,0.00748
