family,capacity,scored_requests,misses,miss_ratio,fold_id
brightkite,32,40000,15679,0.391975,cross_family_v1_brightkite
brightkite,64,40000,14068,0.3517,cross_family_v1_brightkite
brightkite,128,40000,13986,0.34965,cross_family_v1_brightkite
citibike,32,40000,17525,0.438125,cross_family_v1_citibike
citibike,64,40000,16108,0.4027,cross_family_v1_citibike
citibike,128,40000,15561,0.389025,cross_family_v1_citibike
cloudphysics,32,40000,39735,0.993375,cross_family_v1_cloudphysics
cloudphysics,64,40000,39404,0.9851,cross_family_v1_cloudphysics
cloudphysics,128,40000,39323,0.983075,cross_family_v1_cloudphysics
metacdn,32,40000,29207,0.730175,cross_family_v1_metacdn
metacdn,64,40000,23507,0.587675,cross_family_v1_metacdn
metacdn,128,40000,23210,0.58025,cross_family_v1_metacdn
metakv,32,40000,31274,0.78185,cross_family_v1_metakv
metakv,64,40000,30552,0.7638,cross_family_v1_metakv
metakv,128,40000,30529,0.763225,cross_family_v1_metakv
twemcache,32,40000,31004,0.7751,cross_family_v1_twemcache
twemcache,64,40000,28898,0.72245,cross_family_v1_twemcache
twemcache,128,40000,28819,0.720475,cross_family_v1_twemcache
wiki2018,32,40000,40000,1.0,cross_family_v1_wiki2018
wiki2018,64,40000,40000,1.0,cross_family_v1_wiki2018
wiki2018,128,40000,40000,1.0,cross_family_v1_wiki2018
